variant_id,quarter,year,orderquantity,unitprice,sales,view,add_to_cart,orderquantity_next_quarter,view_next_quarter,add_to_cart_next_quarter,best_seller_of_quarter,best_seller_next_quarter,add_to_cart_rate,cart_to_order_rate,conversion_rate,aov,order_growth,view_growth,add_to_cart_growth,aov_lag_1,add_to_cart_lag_1,orderquantity_lag_1,orderquantity_lag_2,orderquantity_lag_3,view_lag_1,order_3q_avg,order_6q_avg,view_3q_avg,add_to_cart_3q_avg
0,1,2009,42,92750.0,151.35,11791,269,39.0,0.0,0.0,0,0.0,0.02281401068611653,0.15613382899628253,0.0035620388431854806,3.6035714285714286,0.9285714285714286,0.0,0.0,,,,,,,,,,
0,2,2010,39,92750.0,147.46,6569,178,14.0,0.0,0.0,0,0.0,0.0270969706195768,0.21910112359550563,0.005936976708783681,3.781025641025641,0.358974358974359,0.0,0.0,3.6035714285714286,269.0,42.0,,,11791.0,,,,
0,4,2010,14,92750.0,51.56,3957,52,13.0,0.0,0.0,0,0.0,0.013141268637856963,0.2692307692307692,0.0035380338640384128,3.682857142857143,0.9285714285714286,0.0,0.0,3.781025641025641,178.0,39.0,42.0,,6569.0,31.666666666666668,,7439.0,166.33333333333334
1,2,2010,17,277250.0,184.09,3474,78,40.0,0.0,0.0,0,0.0,0.022452504317789293,0.21794871794871795,0.00489349453080023,10.828823529411764,2.3529411764705883,0.0,0.0,,,,,,,,,,
1,4,2010,40,277250.0,430.88,9651,207,23.0,0.0,0.0,0,0.0,0.021448554553932235,0.1932367149758454,0.0041446482229820746,10.772,0.575,0.0,0.0,10.828823529411764,78.0,17.0,,,3474.0,,,,
1,4,2011,23,277250.0,262.31,4903,113,25.0,0.0,0.0,0,0.0,0.023047114011829493,0.20353982300884957,0.0046910055068325514,11.404782608695653,1.0869565217391304,0.0,0.0,10.772,207.0,40.0,17.0,,9651.0,26.666666666666668,,6009.333333333333,132.66666666666666
2,2,2009,82,391750.0,1319.33,16243,434,117.0,0.0,0.0,0,1.0,0.026719202117835374,0.1889400921658986,0.00504832851074309,16.08939024390244,1.4268292682926829,0.0,0.0,,,,,,,,,,
2,2,2010,117,391750.0,1791.6499999999999,12890,339,113.0,0.0,0.0,1,1.0,0.026299456943366953,0.34513274336283184,0.009076803723816912,15.313247863247861,0.9658119658119658,0.0,0.0,16.08939024390244,434.0,82.0,,,16243.0,,,,
2,2,2011,113,391750.0,1748.35,86732,548,74.0,0.0,0.0,1,0.0,0.006318313886454826,0.2062043795620438,0.001302863994834663,15.472123893805309,0.6548672566371682,0.0,0.0,15.313247863247861,339.0,117.0,82.0,,12890.0,104.0,,38621.666666666664,440.3333333333333
2,2,2012,74,391750.0,1149.37,16322,213,5.0,0.0,0.0,0,0.0,0.013049871339296654,0.3474178403755869,0.004533758117877711,15.532027027027025,0.06756756756756757,0.0,0.0,15.472123893805309,548.0,113.0,117.0,82.0,86732.0,101.33333333333333,,38648.0,366.6666666666667
3,1,2009,65,218500.0,618.35,15835,215,37.0,0.0,0.0,0,0.0,0.01357751815598358,0.3023255813953488,0.004104831070413641,9.513076923076923,0.5692307692307692,0.0,0.0,,,,,,,,,,
3,2,2009,37,218500.0,347.84,5140,124,39.0,0.0,0.0,0,0.0,0.024124513618677044,0.29838709677419356,0.0071984435797665365,9.401081081081081,1.054054054054054,0.0,0.0,9.513076923076923,215.0,65.0,,,15835.0,,,,
3,2,2010,39,218500.0,335.35,7848,186,35.0,0.0,0.0,0,0.0,0.023700305810397553,0.20967741935483872,0.004969418960244648,8.59871794871795,0.8974358974358975,0.0,0.0,9.401081081081081,124.0,37.0,65.0,,5140.0,47.0,,9607.666666666666,175.0
3,3,2010,35,218500.0,324.30999999999995,8660,125,23.0,0.0,0.0,0,0.0,0.014434180138568129,0.28,0.0040415704387990765,9.265999999999998,0.6571428571428571,0.0,0.0,8.59871794871795,186.0,39.0,37.0,65.0,7848.0,37.0,,7216.0,145.0
3,4,2010,23,218500.0,217.35,4161,97,75.0,0.0,0.0,0,0.0,0.023311703917327564,0.23711340206185566,0.0055275174236962266,9.45,3.260869565217391,0.0,0.0,9.265999999999998,125.0,35.0,39.0,37.0,8660.0,32.333333333333336,,6889.666666666667,136.0
3,2,2011,75,218500.0,648.4100000000001,15439,411,16.0,0.0,0.0,0,0.0,0.026620895135695318,0.18248175182481752,0.004857827579506445,8.645466666666668,0.21333333333333335,0.0,0.0,9.45,97.0,23.0,35.0,39.0,4161.0,44.333333333333336,45.666666666666664,9420.0,211.0
3,4,2011,16,218500.0,136.98,5774,60,87.0,0.0,0.0,0,0.0,0.010391409767925183,0.26666666666666666,0.0027710426047800486,8.56125,5.4375,0.0,0.0,8.645466666666668,411.0,75.0,23.0,35.0,15439.0,38.0,37.5,8458.0,189.33333333333334
3,1,2012,87,218500.0,768.05,30905,355,78.0,0.0,0.0,0,0.0,0.011486814431321792,0.24507042253521127,0.0028150784662675944,8.82816091954023,0.896551724137931,0.0,0.0,8.56125,60.0,16.0,75.0,23.0,5774.0,59.333333333333336,45.833333333333336,17372.666666666668,275.3333333333333
4,1,2009,35,191000.0,285.01,8529,186,36.0,0.0,0.0,0,0.0,0.021807949349278932,0.1881720430107527,0.004103646382928831,8.143142857142857,1.0285714285714285,0.0,0.0,,,,,,,,,,
